trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
TB1-TB2-1-20-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB2-3-3-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB2-3-9-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB3-4-7-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB2-2-16-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
TB1-TB2-5-6-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB2-5-10-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TM25-TM85-7-13-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25735049760591,TM85,0,0
TM25-TM85-8-3-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25835049760591,TM85,0,0
TM25-TM85-12-15-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251235049760591,TM85,0,0
TM25-TM86-4-18-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25435049760591,TM86,0,0
TM25-TM86-1-30-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25135049760591,TM86,0,0
TM25-TM86-6-16-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25635049760591,TM86,0,0
TM25-TM86-1-32-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25135049760591,TM86,0,0
TM25-TM86-11-16-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251135049760591,TM86,0,0
TM25-TM86-13-40-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251335049760591,TM86,0,0
TB1-TB3-2-5-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1236742201930,TB3,0,0
